City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
650,Olafsvik,IS,64.8945,-23.7142,46.8,82,69,12.55,broken clouds
651,Nishihara,JP,26.1842,127.7558,74.48,94,75,14.97,light rain
652,Lagos,NG,6.5833,3.75,83.32,73,86,6.76,overcast clouds
653,Bagdarin,RU,54.4333,113.6,51.44,56,1,7.81,clear sky
654,Prescott,US,34.54,-112.4685,78.66,19,0,8.99,clear sky
655,Cumpas,MX,29.9833,-109.7833,83.91,20,0,6.76,clear sky
656,San Carlos Del Zulia,VE,9.0,-71.9135,88.65,58,100,2.53,overcast clouds
657,San Jeronimo,PE,-11.9472,-75.2829,61.34,46,73,3.0,broken clouds
658,Mackay,AU,-21.15,149.2,73.69,86,48,18.01,scattered clouds
659,Kathmandu,NP,27.7167,85.3167,73.62,78,40,0.0,scattered clouds
660,Peniche,PT,39.3558,-9.3811,77.29,74,87,16.26,overcast clouds
661,Pinega,RU,64.7001,43.3936,39.13,59,55,8.99,broken clouds
662,Arica,CL,-18.475,-70.3042,72.95,59,87,7.76,overcast clouds
663,Mangai,CD,-4.05,19.5333,79.25,70,87,1.92,overcast clouds
664,Zhigansk,RU,66.7697,123.3711,31.08,84,6,4.5,clear sky
665,Loanda,AO,-8.8368,13.2343,80.6,74,0,12.66,clear sky
666,Anadyr,RU,64.75,177.4833,34.3,86,79,6.71,fog
667,Laramie,US,41.3114,-105.5911,63.55,24,0,24.16,clear sky
668,Dolores,AR,-36.3132,-57.6792,58.71,46,5,5.88,clear sky
669,Ukiah,US,39.1502,-123.2078,70.84,45,0,11.5,clear sky
670,Shu,KZ,43.5983,73.7614,67.35,52,63,5.86,broken clouds
671,Pervomayskoye,RU,43.919,46.7102,61.12,78,55,3.67,broken clouds
672,Gravdal,NO,68.1214,13.5031,49.89,53,0,6.91,clear sky
673,Tommot,RU,58.9564,126.2925,42.82,96,100,3.71,light rain
674,Port Hedland,AU,-20.3167,118.5667,71.65,100,0,5.75,clear sky
675,Zhovtneve,UA,50.6637,24.2492,60.69,63,99,3.31,overcast clouds
676,Trairi,BR,-3.2778,-39.2689,84.4,70,68,5.97,broken clouds
677,Broome,US,42.2506,-75.833,63.7,92,100,8.01,overcast clouds
678,Yeppoon,AU,-23.1333,150.7333,71.38,82,99,19.86,overcast clouds
679,Wasilla,US,61.5814,-149.4394,54.36,56,0,3.44,clear sky
680,Moissala,TD,8.3404,17.7663,85.59,49,80,1.52,broken clouds
681,Murray Bridge,AU,-35.1167,139.2667,48.13,78,96,4.25,overcast clouds
682,Avera,US,33.194,-82.5271,89.55,39,16,11.79,few clouds
683,Leh,IN,34.1667,77.5833,52.09,34,98,7.07,overcast clouds
684,Fenoarivo,MG,-18.933,47.4354,59.07,82,40,6.91,scattered clouds
685,Gallup,US,35.5281,-108.7426,74.16,16,0,9.22,clear sky
686,Newberg,US,45.3001,-122.9732,52.02,76,75,5.75,broken clouds
687,Qui Nhon,VN,13.7667,109.2333,78.8,89,100,4.07,overcast clouds
688,Madanapalle,IN,13.55,78.5,72.97,79,100,12.15,overcast clouds
689,Guantanamo,CU,20.1444,-75.2092,85.57,54,100,5.12,overcast clouds
690,Bugalagrande,CO,4.2121,-76.1556,82.35,56,90,1.41,overcast clouds
691,Magistralnyy,RU,56.1725,107.4458,50.72,61,4,3.02,clear sky
692,Maragogi,BR,-9.0122,-35.2225,85.75,69,88,12.57,overcast clouds
