City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Yen Bai,VN,76.33,overcast clouds,21.7,104.8667,AK MOTEL
415,Vinh,VN,76.39,broken clouds,18.6667,105.6667,Vuong Hoan 2
423,Nago,JP,74.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
425,Basoko,CD,78.26,broken clouds,1.2391,23.616,Jackyna Hotel
426,Namibe,AO,71.42,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
430,Bo Phloi,TH,77.04,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
435,Cocobeach,GA,77.79,light rain,1.0002,9.5823,Hotel Esperance
436,Songkhla,TH,78.85,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
437,Howard Springs,AU,75.11,clear sky,-12.497,131.047,buffalo beach hostel
442,Krasnyy Yar,RU,71.53,overcast clouds,46.5331,48.3456,Cottege near Ufa
446,Port Moresby,PG,76.14,clear sky,-9.4431,147.1797,Lamana Hotel (Port Moresby)
449,Port Blair,IN,75.24,thunderstorm with heavy rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
450,Hue,VN,77.11,few clouds,16.4667,107.6,Saigon Morin Hotel
457,Asfi,MA,72.72,broken clouds,32.2994,-9.2372,Hôtel Abda
462,San Matias,BO,73.15,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
464,Kandrian,PG,76.53,light rain,-6.2167,149.55,Kandrian Station
467,Lardos,GR,72.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
472,Sumbe,AO,75.38,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
474,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
476,Morbegno,IT,79.99,overcast clouds,46.1383,9.57,Le Cantine Del Vecchio Borgo
484,Kamina,CD,73.89,few clouds,-8.7386,24.9906,Guest House Florvia
490,Dingle,PH,78.62,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
492,Gbadolite,CD,78.73,light rain,4.2833,21.0167,Zenic
494,Price,US,75.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
496,Pimenta Bueno,BR,74.97,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
502,Karratha,AU,75.25,clear sky,-20.7377,116.8463,ibis Styles Karratha
510,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
518,Pacific Grove,US,71.35,haze,36.6177,-121.9166,Lovers Point Inn
527,Banjar,ID,78.6,overcast clouds,-8.19,114.9675,The Hamsa Resort
530,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
531,Carballo,ES,71.02,overcast clouds,43.213,-8.691,Pazo do Souto
534,Nakhon Phanom,TH,76.66,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
546,Alanya,TR,73.53,few clouds,36.5438,31.9998,Panorama Hotel
551,Alta Floresta,BR,78.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
557,Kendari,ID,75.61,overcast clouds,-3.945,122.4989,Hotel Wixel
559,Gemona,IT,76.62,few clouds,46.2794,13.1431,"Hotel Willy - Taverna, Pizzeria, Ristorante"
560,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
564,Vanimo,PG,79.47,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
565,Blaubeuren,DE,77.88,heavy intensity rain,48.4122,9.7843,Hotel Restaurant Ochsen
569,Moerai,PF,77.59,few clouds,-22.4333,-151.3333,Le Manotel
570,Maumere,ID,79.41,few clouds,-8.6199,122.2111,Sylvia Hotel
575,Guiratinga,BR,72.14,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
577,Warri,NG,78.96,light rain,5.5167,5.75,BON Hotel Delta
579,Lasa,IT,73.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
580,Payo,ID,72.81,broken clouds,-3.7508,103.6372,Mess keban agung
583,Tiarei,PF,71.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
589,Acari,PE,79.03,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
595,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
601,Labuan,MY,77.36,thunderstorm with heavy rain,5.2767,115.2417,Tiara Labuan Hotel
610,Santa Rosa,PH,78.78,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
614,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
617,Dampit,ID,72.05,overcast clouds,-8.2116,112.7493,Kos Bu Heny
618,Marawi,PH,70.12,broken clouds,7.9986,124.2928,Derogongan Residence
632,Port Keats,AU,75.07,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
635,Idanre,NG,76.44,light rain,7.1127,5.1159,GOSHEN TRUST HOTEL AND SUITE
637,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
638,Marsabit,KE,70.3,scattered clouds,2.3284,37.9899,Chicho Hotel
641,Bang Saphan,TH,78.28,light rain,11.2126,99.5117,Ladawan Boutique Hotel
649,Humpolec,CZ,73.62,broken clouds,49.5415,15.3593,fabrika hotel
651,Nishihara,JP,74.48,light rain,26.1842,127.7558,Minshuku Agaihama
654,Prescott,US,78.66,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
658,Mackay,AU,73.69,scattered clouds,-21.15,149.2,International Lodge Motel
659,Kathmandu,NP,73.62,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
660,Peniche,PT,77.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
662,Arica,CL,72.95,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
669,Ukiah,US,70.84,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
674,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
678,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
685,Gallup,US,74.16,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
687,Qui Nhon,VN,78.8,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
688,Madanapalle,IN,72.97,overcast clouds,13.55,78.5,Prithvi Lodge
696,Kieta,PG,78.67,clear sky,-6.2167,155.6333,Uruna Bay Retreat
697,Sal Rei,CV,77.2,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
